id,session_id,visited_at,photo_name,photo_index,event_type,duration_seconds,recipient_tag,device_type,ipv4,visit_id,zoom_pct
915,dkk57kef8mo5gmi71,2026-04-19 14:46:09.245+00,photo2.jpeg,1,view_end,14,kari-sahab,Mobile,,,255
916,nuzv0ozw5mo5ivh7b,2026-04-19 18:28:52.506+00,photo1.jpeg,0,view,0,kari-sahab,Mobile,,,0
917,nuzv0ozw5mo5ivh7b,2026-04-19 18:28:53.991+00,photo1.jpeg,0,view_end,1,kari-sahab,Mobile,,,0
918,nuzv0ozw5mo5ivh7b,2026-04-19 18:28:53.997+00,photo2.jpeg,1,view,0,kari-sahab,Mobile,,,0
919,nuzv0ozw5mo5ivh7b,2026-04-19 18:28:55.789+00,photo2.jpeg,1,view_end,2,kari-sahab,Mobile,,,0
920,0kq1vm1k0mmj1fdsi,2026-04-21 12:40:15.761+00,photo1.jpeg,0,view,0,aaliya-perween,Mobile,,,0
921,0kq1vm1k0mmj1fdsi,2026-04-21 12:40:22.728+00,photo2.jpeg,1,view,0,aaliya-perween,Mobile,,,0
922,0kq1vm1k0mmj1fdsi,2026-04-21 12:40:22.716+00,photo1.jpeg,0,view_end,7,aaliya-perween,Mobile,,,0
923,0kq1vm1k0mmj1fdsi,2026-04-21 12:40:26.3+00,photo2.jpeg,1,zoom,222,aaliya-perween,Mobile,,,222
924,0kq1vm1k0mmj1fdsi,2026-04-21 12:40:31.203+00,photo2.jpeg,1,view_end,8,aaliya-perween,Mobile,,,222
925,ss9gjobuqmobqs43p,2026-04-23 17:16:28.079+00,photo1.jpeg,0,view,0,kaynat-jahan,Mobile,,,0
926,ss9gjobuqmobqs43p,2026-04-23 17:16:44.379+00,photo1.jpeg,0,view_end,16,kaynat-jahan,Mobile,,,0
927,ss9gjobuqmobqs43p,2026-04-23 17:16:44.389+00,photo2.jpeg,1,view,0,kaynat-jahan,Mobile,,,0
